,cb_totals,cb_total_sectors,cb_entropy
CA_Manitoba,109.0,86.0,4.191001122285052
TH_Maha Sarakham,,,
TR_Erzurum Province,,,
TW_Nantou County,,,
JP_Kagoshima Prefecture,,,
IN_Arunachal Pradesh,,,
US_Massachusetts,5452.0,564.0,5.155059020018061
BE_Hainaut,26.0,26.0,3.07326800995058
FR_Gironde,107.0,110.0,4.327836689224421
JP_Iwate Prefecture,,,
RU_Yaroslavl Oblast,,,
UA_Donetsk Oblast,3.0,10.0,2.302585092994046
NZ_Hawke's Bay Region,6.0,6.0,1.791759469228055
JP_Fukui Prefecture,,,
UY_Montevideo,53.0,84.0,4.047617235935139
DK_North Denmark Region,54.0,56.0,3.781644495013956
KR_Busan,5.0,7.0,1.9061547465398494
RS_Moravica District,,,
IR_Yazd Province,,,
IT_Province of Siena,12.0,19.0,2.9124944033310527
PL_West Pomeranian Voivodeship,22.0,32.0,3.26356166088068
ES_Valladolid Province,5.0,13.0,2.564949357461537
LT_Kaunas County,18.0,34.0,3.4005625290197803
NO_Oslo,400.0,240.0,4.871778277488696
EG_Qena Governorate,1.0,4.0,1.3862943611198906
IT_Province of Bari,6.0,14.0,2.6390573296152584
GB_London Borough of Lambeth,6.0,11.0,2.3693821196946763
NZ_Wellington Region,112.0,124.0,4.433690832675273
PT_Porto District,85.0,117.0,4.472326892483872
US_Louisiana,615.0,288.0,5.041540577706506
NZ_Canterbury Region,51.0,71.0,4.080168381906288
ES_Pontevedra Province,14.0,24.0,3.1102365213877157
AE_Dubai,398.0,226.0,4.875629750336101
US_Ohio,1970.0,441.0,5.131228653479648
US_Hawaii,192.0,155.0,4.742358798006373
RS_South Bačka District,18.0,33.0,3.368576534675404
SA_Eastern Province,15.0,21.0,3.0047670352079594
US_Utah,1265.0,408.0,5.148255544274889
TH_Chiang Mai,6.0,10.0,2.302585092994046
FR_Essonne,59.0,62.0,3.8211876530250706
ES_Jaén Province,6.0,13.0,2.564949357461537
IN_Bihar,14.0,21.0,3.028029073307412
MK_Čair Municipality,12.0,21.0,2.880550479972177
TZ_Dar es Salaam Region,21.0,38.0,3.567761227206579
OM_Muscat Governorate,8.0,14.0,2.6390573296152584
BE_Liège,39.0,44.0,3.554449597135857
TZ_Morogoro Region,,,
GB_Oxfordshire,435.0,248.0,4.8578437123635325
BR_Rio Grande do Norte,3.0,6.0,1.791759469228055
AU_Tasmania,23.0,28.0,3.236945348176137
DE_North Rhine-Westphalia,784.0,328.0,5.0343805374472925
US_Mississippi,198.0,134.0,4.498987478094735
HU_Veszprém,,,
VE_Miranda,10.0,13.0,2.564949357461537
GB_Cardiff,97.0,92.0,4.2893285710888405
MG_Antananarivo Province,4.0,11.0,2.3978952727983707
FR_Loire,28.0,34.0,3.345215724817755
CZ_Vysočina Region,3.0,3.0,1.0986122886681096
FI_South Karelia,11.0,16.0,2.6923109941417858
US_Michigan,1823.0,423.0,5.062772921440772
VN_Hau Giang,,,
IN_Rajasthan,182.0,140.0,4.425187898229871
IN_Tripura,,,
JP_Ōita Prefecture,3.0,11.0,2.3978952727983707
CH_Canton of Jura,12.0,19.0,2.814359184750864
SI_Maribor City Municipality,7.0,13.0,2.5400363038209806
AE_Sharjah Emirate,22.0,31.0,3.3719715799284438
GB_London Borough of Barnet,14.0,26.0,3.2444926304072963
TR_Trabzon Province,1.0,1.0,0.0
JO_Balqa Governorate,1.0,1.0,0.0
CN_Tianjin,15.0,25.0,3.0849620985364274
PR_Puerto Rico,14.0,28.0,3.2591389252044323
AR_Mendoza Province,10.0,19.0,2.8782183066708518
DE_Mecklenburg-Western Pomerania,20.0,28.0,3.2235929159449483
RO_Suceava County,,,
RO_Sibiu County,3.0,5.0,1.6094379124341005
RU_Saratov Oblast,2.0,5.0,1.6094379124341005
IE_County Limerick,43.0,75.0,4.089543066366508
IN_Odisha,52.0,51.0,3.464478500601773
PK_Sindh,105.0,82.0,4.074947814376379
UA_Kiev,106.0,127.0,4.387487990242809
IN_Andhra Pradesh,485.0,256.0,4.825081802212086
BD_Chattogram Division,2.0,,
GB_Liverpool,111.0,116.0,4.539892025677644
CN_Shanghai,458.0,261.0,4.960457831887535
CL_Valparaíso Region,3.0,9.0,2.197224577336219
FR_Hauts-de-Seine,276.0,198.0,4.67321673382566
US_Nebraska,404.0,232.0,4.894299984506322
SE_Värmland County,13.0,19.0,2.9020023132056036
NA_Otjozondjupa Region,1.0,3.0,1.0986122886681096
FR_Haute-Vienne,24.0,44.0,3.7128833076989407
JP_Akita Prefecture,,,
KH_Phnom Penh,20.0,31.0,3.330230943723401
NL_Groningen,40.0,53.0,3.8434962709575684
JP_Okayama Prefecture,1.0,1.0,0.0
RU_Moscow,475.0,279.0,4.9602019338069
TH_Bangkok,140.0,135.0,4.594470138688873
RU_Republic of Tatarstan,8.0,13.0,2.5400363038209806
SE_Örebro County,12.0,17.0,2.7985132569432944
DZ_Algiers Province,5.0,16.0,2.7725887222397807
ES_A Coruña,22.0,41.0,3.658132080249479
IT_Province of Brescia,31.0,38.0,3.5374174117514476
HR_Zagreb,58.0,61.0,3.8482000818491535
TW_Pingtung County,3.0,4.0,1.3321790402101223
TR_Ankara Province,78.0,79.0,3.9916126450384
GB_London Borough of Camden,8.0,13.0,2.5400363038209806
AT_Lower Austria,37.0,50.0,3.8111413023700553
DE_Rhineland-Palatinate,112.0,101.0,4.23012742206612
TH_Khon Kaen,1.0,6.0,1.791759469228055
DZ_Annaba Province,1.0,4.0,1.3862943611198906
US_Arizona,1730.0,433.0,5.191269028832333
NG_Bauchi State,,,
SN_Saint-Louis,,,
BR_Pernambuco,20.0,35.0,3.432874510299262
SE_Uppsala County,54.0,64.0,3.8690942645800304
CA_British Columbia,1732.0,419.0,5.053137728932542
IT_Province of Cagliari,10.0,20.0,2.9412316867217556
FR_Nord,114.0,110.0,4.3170384421294
CH_Canton of Neuchâtel,48.0,54.0,3.5907124603587888
TR_Çankırı Province,,,
NG_Imo State,1.0,1.0,0.0
FI_Finland Proper,76.0,90.0,4.1657616492690845
RO_Ilfov County,9.0,16.0,2.736339051105066
PL_Lublin Voivodeship,7.0,11.0,2.3978952727983707
NO_Hordaland,9.0,13.0,2.564949357461537
US_Montana,190.0,153.0,4.699974054757401
PL_Świętokrzyskie Voivodeship,7.0,11.0,2.3978952727983707
JP_Ōsaka Prefecture,51.0,60.0,3.8780278155910204
US_Florida,4560.0,556.0,5.196520707942245
DE_Hamburg,331.0,225.0,4.881364830404637
GB_London Borough of Hillingdon,37.0,44.0,3.660359470574072
ES_Granada Province,18.0,30.0,3.3139617015716865
TW_Yilan County,,,
GB_City of Sunderland,16.0,28.0,3.2998296856670923
IN_Uttar Pradesh,534.0,251.0,4.630011387288748
CN_Beijing,686.0,295.0,4.913542102638353
JP_Ibaraki Prefecture,4.0,2.0,0.6365141682948128
FR_Aube,6.0,15.0,2.70805020110221
IR_Markazi Province,,,
GB_Gwynedd,13.0,27.0,3.2444540412628644
IT_Benevento Province,4.0,6.0,1.7917594692280547
DZ_Constantine Province,,,
GB_Plymouth,17.0,36.0,3.5435069992803068
LB_Mount Lebanon Governorate,41.0,49.0,3.765275509888043
TH_Nakhon Pathom,,,
IT_Province of Campobasso,3.0,15.0,2.70805020110221
BE_Antwerp,132.0,139.0,4.645306384320319
GB_Stirling,11.0,17.0,2.728352370092261
CN_Sichuan,63.0,61.0,3.798353303062145
FR_Vaucluse,17.0,18.0,2.794979623870695
CN_Guizhou,1.0,1.0,0.0
LK_Gampaha District,4.0,15.0,2.685945324669788
JP_Aomori Prefecture,1.0,1.0,0.0
NL_Overijssel,80.0,97.0,4.331880050130089
IR_East Azerbaijan Province,,,
BR_Paraná,65.0,78.0,4.13478174754432
MX_Guanajuato,2.0,7.0,1.9459101490553132
TW_Yunlin County,,,
IN_Manipur,,,
NO_Buskerud,23.0,26.0,3.173102701104463
RU_Tambov Oblast,,,
SG_Central Singapore Community Development Council,2.0,8.0,2.0794415416798357
FR_Savoie,28.0,41.0,3.591892720146284
IR_West Azarbaijan Province,,,
BN_Brunei-Muara District,2.0,5.0,1.6094379124341005
DZ_Batna Province,,,
CR_San José Province,36.0,47.0,3.6798578720315294
NG_Oyo State,4.0,13.0,2.564949357461537
PL_Łódź Voivodeship,26.0,34.0,3.4678540963518394
BR_Rio de Janeiro,116.0,120.0,4.445557505122718
PH_Sorsogon,,,
IN_Maharashtra,1830.0,408.0,5.075862034388512
MX_Puebla,10.0,20.0,2.9785084205272376
VE_Carabobo,,,
AU_Victoria,1148.0,386.0,5.208817576139532
RS_Nišava District,1.0,4.0,1.3862943611198906
MX_Querétaro,3.0,10.0,2.302585092994046
JP_Miyagi Prefecture,1.0,2.0,0.6931471805599453
PL_Lesser Poland Voivodeship,95.0,114.0,4.331318291397528
GB_Buckinghamshire,161.0,159.0,4.692183392995484
CZ_South Moravian Region,39.0,52.0,3.707459988286873
US_Minnesota,1700.0,402.0,4.955700215623754
ID_Central Java Province,5.0,8.0,2.04319187054512
FR_Rhône,206.0,170.0,4.712992902228541
JP_Saga Prefecture,2.0,4.0,1.3862943611198906
ES_Barcelona Province,95.0,118.0,4.457816766337125
BD_Sylhet Division,1.0,1.0,0.0
IQ_Basra Governorate,,,
GR_North Aegean Region,,,
GB_Edinburgh,244.0,183.0,4.719105340449831
IE_County Kildare,19.0,32.0,3.331203970294556
ZW_Harare Province,18.0,22.0,2.9877714524221313
MX_Mexico City,148.0,146.0,4.7037340711138
JP_Nagasaki Prefecture,,,
NL_Gelderland,149.0,141.0,4.595772775272805
EG_Al Sharqia Governorate,,,
AR_San Juan Province,5.0,8.0,2.0253262207700673
IR_Qazvin Province,,,
ES_Biscay,54.0,83.0,4.189855587014616
SK_Banská Bystrica Region,4.0,8.0,2.0431918705451206
JP_Wakayama Prefecture,,,
RU_Omsk Oblast,7.0,16.0,2.648438334546311
VN_Ho Chi Minh City,86.0,87.0,4.17892966917757
PY_Central Department,1.0,1.0,0.0
MX_Zacatecas,1.0,3.0,1.0986122886681096
IL_Haifa District,151.0,131.0,4.228151561162985
GB_London Borough of Ealing,4.0,10.0,2.302585092994046
JP_Yamaguchi Prefecture,1.0,1.0,0.0
RU_Krasnoyarsk Krai,5.0,11.0,2.3693821196946763
TR_Izmir Province,53.0,46.0,3.613603949048278
FR_Bas-Rhin,47.0,55.0,3.740562095775352
KR_Gyeonggi Province,88.0,85.0,4.0726415466463495
TR_Batman Province,,,
VE_Lara,,,
IT_Province of Reggio Calabria,2.0,2.0,0.6931471805599453
GB_Leicester,62.0,81.0,4.1572885631009875
US_Indiana,1029.0,340.0,4.990617826747529
FR_Marne,12.0,8.0,1.8937882323911377
KR_Sejong City,,,
SA_Jizan Region,,,
ID_Aceh,1.0,1.0,0.0
IT_Province of Perugia,11.0,17.0,2.7985132569432944
US_New York,10284.0,633.0,5.273770743899256
JO_Zarqa Governorate,1.0,3.0,1.0986122886681096
GB_Kirklees,44.0,55.0,3.8561649597981864
MK_Tetovo Municipality,,,
JP_Gunma Prefecture,4.0,10.0,2.2718685126965625
TH_Pathum Thani,1.0,2.0,0.6931471805599453
IR_Sistan and Baluchestan,,,
BR_São Paulo,554.0,276.0,4.917314517362209
ES_Cádiz Province,20.0,37.0,3.4743791278410843
EG_Sohag Governorate,,,
IL_Southern District,45.0,49.0,3.6819597686656422
IN_Punjab,110.0,94.0,3.897852892655142
AR_Buenos Aires Province,37.0,49.0,3.6450333697409505
US_Kansas,943.0,329.0,5.003289980188832
PT_Coimbra District,6.0,9.0,2.0228085294147036
SI_Ljubljana City Municipality,50.0,75.0,4.155973711206181
CL_Los Ríos Region,1.0,3.0,1.0986122886681096
IN_Meghalaya,3.0,3.0,1.0986122886681096
HU_Szeged,3.0,6.0,1.7917594692280547
RU_Nizhny Novgorod Oblast,8.0,17.0,2.833213344056216
RU_Volgograd Oblast,3.0,5.0,1.6094379124341005
RU_Perm Krai,8.0,14.0,2.6156305770275505
ZA_Gauteng,548.0,270.0,4.935627073426442
IT_Province of Venice,17.0,23.0,3.062433267555995
PL_Pomeranian Voivodeship,62.0,99.0,4.371368003919284
PT_Viseu District,5.0,10.0,2.302585092994046
US_Idaho,247.0,188.0,4.810460009762011
GB_Northamptonshire,119.0,119.0,4.455138746275514
FR_Bouches-du-Rhône,141.0,134.0,4.516429284914869
BD_Khulna District,3.0,7.0,1.9061547465398496
TW_Kaohsiung City,9.0,8.0,1.8392967479776603
ES_Albacete Province,9.0,15.0,2.524058077389471
RS_Belgrade,24.0,30.0,3.272991145777969
GB_Belfast city council district,98.0,112.0,4.379180566742982
ES_Asturias,43.0,47.0,3.593283038999481
FI_Uusimaa,692.0,326.0,5.090726572030516
JP_Kagawa Prefecture,1.0,2.0,0.6931471805599453
AR_Buenos Aires,286.0,215.0,4.662014699310446
GB_York,60.0,77.0,4.141090126519047
TR_Samsun Province,3.0,5.0,1.6094379124341005
ES_Salamanca Province,6.0,12.0,2.4583113296830836
US_Texas,7480.0,594.0,5.250681872726005
CN_Shandong,48.0,33.0,3.1020840249045083
MY_Pahang,2.0,3.0,1.0986122886681096
BE_Brussels-Capital Region,211.0,183.0,4.7922483055897285
MT_San Ġwann,1.0,2.0,0.6931471805599453
TH_Songkhla,1.0,1.0,0.0
IE_County Cork,109.0,129.0,4.444879013444323
NG_Rivers State,4.0,4.0,1.3321790402101223
RU_Novosibirsk Oblast,13.0,17.0,2.6015683031684986
BR_Pará,1.0,2.0,0.6931471805599453
BR_Paraíba,9.0,15.0,2.6229962760857912
NL_North Holland,839.0,349.0,5.129841788766422
NG_Lagos,129.0,129.0,4.5353655269243776
DZ_Oran,,,
GB_Sheffield,126.0,102.0,4.274488313815527
GB_Slough,50.0,56.0,3.8468328731961146
IT_Province of Verona,26.0,49.0,3.8170856899981223
FR_Pas-de-Calais,41.0,58.0,3.866557527549314
LV_Ventspils,,,
DE_Saxony-Anhalt,42.0,59.0,3.8988577732798473
GB_Cheshire East,104.0,106.0,4.388459715367816
BD_Dhaka Division,97.0,94.0,4.117004700711671
BR_Santa Catarina,43.0,51.0,3.8120305860492416
IT_Province of Florence,51.0,59.0,3.7679972419804626
FR_Val-de-Marne,68.0,74.0,4.006243288957406
US_New Mexico,425.0,238.0,4.917796976332637
IT_Province of Naples,11.0,26.0,3.223886068491313
EE_Harju County,147.0,177.0,4.839652303369931
IN_Haryana,495.0,259.0,4.88872750593284
IN_Jharkhand,6.0,8.0,2.0794415416798357
IR_Tehran Province,28.0,47.0,3.8179461838583606
BR_Federal District,14.0,29.0,3.29942703091156
KZ_Almaty,7.0,11.0,2.3978952727983707
UG_Kampala District,35.0,45.0,3.6247110757766476
TR_Mersin Province,3.0,5.0,1.6094379124341005
IQ_Nineveh Governorate,,,
ID_Special Region of Yogyakarta,7.0,7.0,1.9061547465398494
ES_Community of Madrid,994.0,365.0,5.008569283450843
GB_Kingston upon Hull,41.0,52.0,3.87023631974652
IS_Reykjavík,146.0,136.0,4.442306523477058
GB_Luton,35.0,40.0,3.5075426592372603
BR_Acre,1.0,1.0,0.0
ET_Tigray Region,,,
FR_Alpes-Maritimes,102.0,97.0,4.186211707381382
JP_Nagano Prefecture,3.0,2.0,0.6931471805599453
CN_Henan,12.0,10.0,2.153532456654254
IN_Delhi,1153.0,349.0,4.953352959403896
DE_Lower Saxony,185.0,146.0,4.5086053278752525
GB_Wokingham,33.0,48.0,3.6630887255428295
SE_Kalmar County,11.0,21.0,3.0149468801795942
BY_Grodno Region,1.0,1.0,0.0
CH_Canton of Bern,165.0,164.0,4.682015880648948
KR_Daegu,2.0,2.0,0.6931471805599453
IQ_Baghdad Governorate,3.0,5.0,1.6094379124341005
GB_London Borough of Islington,7.0,11.0,2.3693821196946763
IT_Province of Varese,27.0,25.0,3.085811660858222
MA_Fès-Boulemane,,,
GB_Bolton,27.0,48.0,3.8345432264998096
EG_Ismailia Governorate,,,
ZA_Free State,3.0,3.0,1.0986122886681096
US_Rhode Island,265.0,205.0,4.834978556660597
GB_City of Westminster,5784.0,583.0,5.253102320097199
US_Maryland,1779.0,407.0,5.0396444083676695
MX_Veracruz,3.0,4.0,1.3862943611198906
MU_Plaines Wilhems District,,,
IT_Province of Catania,5.0,6.0,1.7478680974667573
FI_Ostrobothnia,10.0,11.0,2.274240930731769
IE_County Fingal,28.0,43.0,3.6889817267836684
GR_Epirus Region,,,
IT_Province of Macerata,6.0,12.0,2.441015278026703
MX_Sonora,6.0,11.0,2.3978952727983707
KW_Al Asimah Governorate,8.0,13.0,2.5400363038209806
CN_Hubei,34.0,35.0,3.321007093677721
BG_Sofia City Province,127.0,135.0,4.490911816000178
EG_Aswan Governorate,,,
TR_Balıkesir Province,1.0,1.0,0.0
FR_Indre-et-Loire,12.0,13.0,2.479955520544517
FJ_Central Division,1.0,1.0,0.0
IT_Province of Pavia,9.0,11.0,2.3978952727983707
JP_Kyōto Prefecture,24.0,39.0,3.5320427425059453
PT_Aveiro District,16.0,21.0,2.976138801338436
CO_Bogotá,74.0,91.0,4.264594816583347
US_Arkansas,294.0,179.0,4.708978665007453
ID_Jakarta,163.0,146.0,4.57664512818892
TZ_Arusha Region,5.0,8.0,2.0253262207700677
ES_Balearic Islands,38.0,62.0,3.8435604290503185
AT_Styria,62.0,66.0,3.870525431299115
DE_Schleswig-Holstein,80.0,91.0,4.255091657305716
CH_Canton of Lucerne,37.0,54.0,3.880934982290241
MY_Perak,5.0,9.0,2.197224577336219
TR_Konya Province,4.0,4.0,1.3321790402101223
IT_Province of Modena,34.0,38.0,3.4942607851501837
IN_Tamil Nadu,687.0,287.0,4.719430182113663
US_New Jersey,2856.0,466.0,5.072751087915109
SA_Riyadh Region,49.0,58.0,3.929045087963659
GB_Manchester,336.0,221.0,4.894557070380892
BR_Goiás,8.0,11.0,2.351673301904631
TR_Amasya Province,,,
FI_Northern Ostrobothnia,76.0,91.0,4.217626271663324
NL_Limburg,54.0,72.0,4.042630364627878
SE_Norrbotten County,14.0,22.0,3.0197361271389953
CZ_Olomouc Region,2.0,2.0,0.6931471805599453
LB_Beirut Governorate,46.0,58.0,3.8597698645904455
GR_Peloponnese Region,,,
US_North Dakota,99.0,99.0,4.382817838627137
ES_Region of Murcia,37.0,50.0,3.8088263069812394
FR_Doubs,15.0,26.0,3.2163581335128364
JO_Irbid Governorate,,,
ME_Podgorica Municipality,3.0,8.0,2.0794415416798357
JP_Hokkaidō,9.0,18.0,2.8714761180548676
EG_Monufia Governorate,,,
PK_Khyber Pakhtunkhwa,6.0,9.0,2.1639556568820564
FR_Seine-Maritime,27.0,31.0,3.2608753514559856
GB_Cornwall,44.0,44.0,3.6222748793464046
PL_Silesian Voivodeship,51.0,67.0,3.922554834883483
IN_Assam,4.0,3.0,1.0986122886681096
TH_Nakhon Si Thammarat,,,
IR_Razavi Khorasan Province,2.0,2.0,0.6931471805599453
US_Missouri,614.0,276.0,4.964217881760436
IE_County Donegal,16.0,21.0,2.895270233279544
CA_New Brunswick,44.0,65.0,4.00564508696674
GB_London Borough of Southwark,3.0,3.0,1.0986122886681096
CO_Valle del Cauca Department,8.0,15.0,2.70805020110221
SA_Makkah Region,25.0,38.0,3.5240279165890227
IT_Province of Potenza,1.0,1.0,0.0
IR_Zanjan Province,,,
PH_Metro Manila,1.0,1.0,0.0
FR_Maine-et-Loire,25.0,38.0,3.5034298515005284
NZ_Auckland Region,298.0,225.0,4.941102017698135
TH_Nakhon Ratchasima,,,
GB_Nottingham,152.0,138.0,4.533342923175637
GB_Leeds,246.0,190.0,4.825378044223347
DE_Brandenburg,60.0,81.0,4.075531185314437
IE_County Tipperary,9.0,16.0,2.736339051105066
ES_Las Palmas Province,87.0,84.0,3.989075678827092
AT_Salzburg,24.0,42.0,3.646541338510551
CN_Jiangsu,145.0,100.0,4.048861696354557
TR_Tokat Province,,,
TR_Afyonkarahisar Province,,,
GB_Staffordshire,84.0,82.0,4.166282598775979
KE_Central Province,5.0,8.0,2.0794415416798357
AL_Durrës County,11.0,24.0,3.1239385094381773
CH_Canton of Geneva,248.0,202.0,4.790205111438116
GB_Renfrewshire,17.0,30.0,3.337935207609335
EG_Damietta Governorate,,,
UA_Kharkiv Oblast,27.0,68.0,3.849611142169853
GB_Newcastle upon Tyne,134.0,147.0,4.648925938854926
RU_Altai Republic,,,
MA_Grand Casablanca,1.0,1.0,0.0
TN_Manouba Governorate,,,
LK_Colombo District,58.0,53.0,3.646168422362501
NL_South Holland,464.0,265.0,5.057463068297473
RU_Republic of Karelia,,,
FR_Meurthe-et-Moselle,15.0,20.0,2.886165178199427
AU_Northern Territory,6.0,8.0,2.0794415416798357
GB_Glasgow,183.0,166.0,4.741828350429242
IE_County Dublin,1112.0,375.0,5.008366199224726
US_West Virginia,120.0,105.0,4.274331507285855
RO_Dolj County,,,
BE_East Flanders,162.0,151.0,4.616161509298209
IT_Province of Messina,2.0,4.0,1.3862943611198906
RU_Udmurt Republic,,,
QA_Al Daayen,,,
CN_Guangxi Zhuang Autonomous Region,3.0,4.0,1.3862943611198906
US_Virginia,2805.0,478.0,5.074853140573268
GB_Kent,265.0,180.0,4.790343253967032
FR_Loiret,19.0,31.0,3.390978054967236
KR_North Chungcheong Province,2.0,8.0,2.0794415416798357
JP_Okinawa Prefecture,3.0,3.0,1.0986122886681096
BR_Alagoas,,,
LV_Daugavpils,,,
CN_Shaanxi,18.0,25.0,3.0842961326269087
DE_Saarland,34.0,34.0,3.202367378506567
NL_Utrecht,234.0,182.0,4.635092083270067
IR_Bushehr Province,,,
ES_Navarre,32.0,47.0,3.682934718933839
ES_Alicante Province,26.0,48.0,3.7528261313154845
IR_Mazandaran Province,,,
MY_Sarawak,3.0,3.0,1.0986122886681096
GB_London Borough of Tower Hamlets,5.0,6.0,1.732867951399863
UA_Lviv Oblast,17.0,42.0,3.401986400525298
IT_Province of L'Aquila,6.0,8.0,2.0431918705451206
IT_Province of Udine,8.0,17.0,2.833213344056216
BF_Kadiogo Province,4.0,7.0,1.9061547465398494
TW_Tainan,9.0,9.0,2.098147389135067
FR_Gard,12.0,14.0,2.553237002993714
GB_Suffolk,95.0,97.0,4.317582585608447
EG_Giza Governorate,23.0,44.0,3.6749873725631454
IT_Trentino-South Tyrol,5.0,10.0,2.302585092994046
CZ_Central Bohemian Region,11.0,12.0,2.4583113296830836
AT_Carinthia,21.0,27.0,3.174630287614578
US_South Carolina,769.0,297.0,4.968212344225828
RU_Sakha Republic,2.0,3.0,1.0986122886681096
