,cb_totals,cb_total_sectors,cb_entropy
CA_Nova Scotia,76.0,96.0,4.293757233131289
RU_Ulyanovsk Oblast,5.0,11.0,2.3383717048035724
MX_Nuevo León,37.0,47.0,3.608213076571094
TR_Kırklareli Province,1.0,1.0,0.0
MY_Kuala Lumpur,159.0,144.0,4.585923412310663
GB_Swindon,55.0,76.0,4.205180880036235
IE_County Galway,5.0,7.0,1.9459101490553132
GB_South Gloucestershire,6.0,10.0,2.302585092994046
MY_Perlis,,,
GB_Surrey,435.0,261.0,4.924278847560858
EG_Dakahlia Governorate,,,
MX_Hidalgo,,,
TR_Manisa Province,3.0,1.0,0.0
GB_Bath and North East Somerset,62.0,89.0,4.270247303173271
PT_Lisbon District,182.0,159.0,4.557986695283985
RU_Tomsk Oblast,4.0,9.0,2.197224577336219
NO_Vestfold,14.0,20.0,2.978508420527238
PL_Lubusz Voivodeship,10.0,25.0,3.1760828146595923
GB_Essex,185.0,145.0,4.638560219790085
GB_Bristol,227.0,183.0,4.827851509206194
CN_Xinjiang,2.0,4.0,1.3862943611198906
AU_Australian Capital Territory,56.0,69.0,4.034077450073774
MX_México,31.0,44.0,3.7396831562868713
US_Connecticut,1437.0,403.0,5.10303130591798
CO_Bolívar Department,3.0,4.0,1.3862943611198906
CN_Anhui,14.0,22.0,3.052520501533814
JP_Tokushima Prefecture,2.0,4.0,1.3862943611198906
IN_Gujarat,614.0,245.0,4.461205984145711
US_Delaware,413.0,256.0,5.027392361407446
ES_Zaragoza Province,51.0,74.0,4.069490180290948
KR_North Gyeongsang Province,12.0,20.0,2.9785084205272376
EG_Asyut Governorate,1.0,1.0,0.0
RU_Primorsky Krai,1.0,9.0,2.1972245773362196
TR_Bartın Province,,,
KR_Gangwon Province,3.0,5.0,1.6094379124341005
BR_Maranhão,5.0,6.0,1.7478680974667573
PE_Lima Province,53.0,67.0,4.042745589899853
IR_Kerman Province,,,
IN_Himachal Pradesh,5.0,14.0,2.6390573296152584
IT_Province of Cosenza,2.0,7.0,1.945910149055313
JP_Aichi Prefecture,14.0,13.0,2.3992042962026154
MK_Butel Municipality,,,
IT_Province of Teramo,2.0,3.0,1.0397207708399179
CN_Shanxi,5.0,8.0,2.0794415416798357
JP_Shimane Prefecture,,,
NZ_Southland Region,,,
GB_London Borough of Newham,2.0,2.0,0.6365141682948128
AU_New South Wales,1586.0,416.0,5.188032546964837
SE_Västernorrland County,18.0,33.0,3.423452352430968
GB_Fife,19.0,23.0,3.0624332675559947
DE_Hesse,335.0,216.0,4.827507894242457
TR_Düzce Province,,,
EG_Qalyubia Governorate,,,
GB_Bournemouth,,,
GB_Cambridgeshire,327.0,217.0,4.677387773579863
EE_Tartu County,25.0,51.0,3.692661240790019
JP_Ehime Prefecture,,,
VN_Hanoi,81.0,86.0,4.124263226399599
DE_Thuringia,49.0,46.0,3.4640426970246647
FR_Moselle,11.0,16.0,2.718473401330013
MX_Jalisco,30.0,50.0,3.8404629330250617
AE_Abu Dhabi Emirate,56.0,69.0,4.087903784502556
MA_Marrakesh-Tensift-El Haouz,4.0,8.0,2.0431918705451206
FR_Haute-Garonne,116.0,119.0,4.398412707808596
GB_East Sussex,61.0,82.0,4.2550306799401545
FR_Somme,10.0,17.0,2.798513256943294
IT_Province of Enna,,,
JP_Fukushima Prefecture,1.0,2.0,0.6931471805599453
CN_Jilin,4.0,4.0,1.3321790402101223
SE_Östergötland County,64.0,77.0,3.9580096819654402
KZ_Astana,3.0,6.0,1.791759469228055
NO_Akershus,14.0,16.0,2.7255503958317213
CH_Ticino,64.0,74.0,3.993339698364053
UA_Luhansk Oblast,,,
NZ_Otago Region,26.0,45.0,3.6990213651320367
IR_Isfahan Province,,,
DE_Saxony,133.0,127.0,4.3929370188189605
IR_Ardabil Province,,,
FR_Hérault,70.0,90.0,4.26732941154407
SA_Tabuk Region,,,
CO_Antioquia Department,27.0,37.0,3.5485824223764606
PH_Laguna,2.0,5.0,1.5607104090414063
GB_Bradford,51.0,61.0,3.923692383170456
FR_Oise,17.0,23.0,3.044390228115838
GB_Derbyshire,67.0,58.0,3.8435945515187275
JO_Madaba Governorate,,,
CZ_Plzeň-City District,8.0,9.0,2.163955656882057
FR_Seine-et-Marne,43.0,50.0,3.592703914282564
GB_Norfolk,119.0,125.0,4.60014751866252
GB_Birmingham,226.0,183.0,4.771465204946383
GB_Hertfordshire,291.0,204.0,4.861359793793358
GE_Tbilisi,11.0,17.0,2.7877881193860077
FR_Vienne,4.0,9.0,2.1639556568820564
TR_Adıyaman Province,,,
ZA_Eastern Cape,6.0,7.0,1.9061547465398494
KR_South Jeolla Province,2.0,7.0,1.9459101490553132
KR_Seoul,584.0,258.0,4.734497288415415
US_Wisconsin,1220.0,349.0,5.048809955992379
GR_West Macedonia Region,,,
AU_Western Australia,339.0,195.0,4.777999061280827
MX_Colima,1.0,2.0,0.6931471805599453
GB_Devon,73.0,77.0,4.156817659607626
SI_Koper City Municipality,3.0,4.0,1.3862943611198906
CN_Jiangxi,3.0,7.0,1.9061547465398494
GB_West Sussex,168.0,144.0,4.611524346114549
JP_Kōchi Prefecture,,,
KR_Ulsan,1.0,,
IT_Province of Chieti,3.0,5.0,1.6094379124341005
SA_'Asir Region,,,
GB_Portsmouth,1.0,3.0,1.0986122886681096
DZ_Sétif Province,1.0,1.0,0.0
GR_Central Macedonia,26.0,43.0,3.633698550755055
RU_Rostov Oblast,4.0,15.0,2.70805020110221
IE_County Louth,21.0,33.0,3.3521154376990405
JP_Tottori Prefecture,,,
FR_Seine-Saint-Denis,65.0,76.0,4.111088375638009
KR_Gwangju,,,
LK_Jaffna District,,,
EG_Port Said Governorate,,,
ID_East Java,11.0,19.0,2.8716496251359276
CA_Alberta,933.0,319.0,4.734229270918055
US_New Hampshire,362.0,218.0,4.761756193358754
GB_County Durham,53.0,72.0,4.128597621769683
IT_Province of Lecce,5.0,13.0,2.5400363038209806
AT_Vienna,292.0,236.0,4.821341525832606
IT_Province of Trieste,13.0,19.0,2.8782183066708513
GB_City of London,4.0,7.0,1.945910149055313
ES_León Province,1.0,1.0,0.0
EG_Faiyum Governorate,,,
FR_Yvelines,112.0,94.0,4.192705618007844
BR_Ceará,8.0,15.0,2.6701198898068172
CH_Canton of Zürich,740.0,306.0,4.885775222735748
BY_Minsk,41.0,49.0,3.3793372552429894
SK_Košice Region,9.0,19.0,2.8674404991244455
CN_Liaoning,23.0,23.0,2.9786611832420213
GB_Rotherham,24.0,37.0,3.536954685848359
GB_London Borough of Hounslow,47.0,58.0,3.935401389392175
MY_Selangor,157.0,137.0,4.541061280682533
DE_Bremen,36.0,54.0,3.8575444636089418
DE_Baden-Württemberg,535.0,250.0,4.704029730743493
TR_Kocaeli Province,11.0,12.0,2.3393717343898155
NO_West Agder,20.0,31.0,3.316115133537286
IR_Fars Province,1.0,3.0,1.0986122886681096
BA_Tuzla Canton,2.0,2.0,0.6931471805599453
MN_Ulaanbaatar,7.0,9.0,2.163955656882057
CN_Gansu,1.0,1.0,0.0
FR_Pyrénées-Orientales,7.0,11.0,2.3978952727983707
NO_Møre og Romsdal,12.0,17.0,2.798513256943295
SE_Västra Götaland County,256.0,159.0,4.483146291907103
US_Nevada,925.0,357.0,5.1811449758957195
TR_Elazığ Province,1.0,1.0,0.0
CN_Zhejiang,128.0,109.0,4.252779106153299
CZ_Liberec Region,5.0,9.0,2.1972245773362196
GB_Wrexham County Borough,14.0,29.0,3.328471881330736
FR_Loire-Atlantique,73.0,87.0,4.203203291874351
US_California,26401.0,693.0,5.283664938263977
ES_Tarragona Province,19.0,29.0,3.328471881330736
HR_Primorje-Gorski Kotar County,8.0,15.0,2.6859453246697877
BR_Mato Grosso do Sul,4.0,9.0,2.1458417525947544
IT_Province of Turin,81.0,96.0,4.323271075479905
ES_Lleida Province,11.0,20.0,2.947004770161297
IT_Liguria,18.0,28.0,3.276097603167098
FR_Finistère,25.0,33.0,3.3823253470780843
TR_Eskişehir Province,3.0,4.0,1.3862943611198906
US_Alabama,589.0,242.0,4.778671671801611
JP_Ishikawa Prefecture,5.0,10.0,2.302585092994046
NP_Bagmati Zone,40.0,52.0,3.771409511634081
IT_Province of Padua,25.0,36.0,3.488737420421817
ES_Valencia Province,144.0,144.0,4.581191336485695
ES_La Rioja,25.0,48.0,3.82416268449983
KR_South Chungcheong Province,4.0,4.0,1.3862943611198906
IT_Province of Milan,381.0,253.0,4.9656623114734355
HU_Pécs,,,
GB_Gloucestershire,128.0,121.0,4.429129484484241
IT_Province of Bologna,73.0,86.0,4.195000886362777
GB_London Borough of Lewisham,3.0,2.0,0.6931471805599453
IR_Khuzestan Province,,,
JP_Nara Prefecture,2.0,2.0,0.6931471805599453
NO_Sør-Trøndelag,55.0,68.0,3.859191965890348
SK_Bratislava Region,78.0,95.0,4.299893149793462
IT_Province of Bergamo,31.0,40.0,3.4474917824832043
PK_Azad Kashmir,,,
MM_Yangon Region,8.0,5.0,1.5607104090414066
HR_Osijek-Baranja County,3.0,8.0,2.0794415416798357
BR_Rio Grande do Sul,72.0,85.0,4.185226608789183
US_Oregon,1525.0,420.0,5.1550507954152
JP_Yamagata Prefecture,1.0,3.0,1.0986122886681096
JP_Kumamoto Prefecture,1.0,,
PS_Gaza Governorate,,,
FR_Val-d'Oise,46.0,57.0,3.876358357875274
ES_Cáceres Province,6.0,16.0,2.6980110198441136
NG_Ogun State,1.0,3.0,1.0986122886681096
GB_Middlesbrough,24.0,40.0,3.608903081555547
EC_Pichincha Province,9.0,12.0,2.4583113296830836
AT_Tyrol,25.0,27.0,3.1933413361957586
DK_Region Zealand,36.0,53.0,3.8580179019962295
BA_Sarajevo Canton,3.0,7.0,1.945910149055313
JP_Niigata Prefecture,1.0,,
TR_Antalya Province,10.0,17.0,2.7877881193860077
MY_Penang,18.0,28.0,3.29244910765974
KE_Nairobi,141.0,109.0,4.293522797882678
DK_Central Denmark Region,166.0,139.0,4.491096711780342
FR_Ille-et-Vilaine,59.0,73.0,4.055851180686558
MX_Aguascalientes,1.0,3.0,1.0986122886681096
CL_Coquimbo Region,1.0,2.0,0.6931471805599453
US_Vermont,377.0,249.0,4.888486622893854
JP_Fukuoka Prefecture,11.0,17.0,2.7616257121977803
ID_West Java Province,36.0,69.0,4.10137841229929
CN_Fujian,23.0,30.0,3.185656456714219
SE_Blekinge County,9.0,14.0,2.6156305770275505
RU_Krasnodar Krai,5.0,8.0,2.0431918705451206
CZ_Moravian-Silesian Region,14.0,13.0,2.4150521219178076
CL_Bío Bío Region,,,
CH_Canton of Vaud,310.0,213.0,4.608179390337295
SE_Skåne County,218.0,180.0,4.607066068548443
BT_Thimphu District,2.0,2.0,0.6931471805599453
KR_North Jeolla Province,4.0,5.0,1.6094379124341005
IN_Chhattisgarh,11.0,20.0,2.941231686721755
PT_Madeira,7.0,18.0,2.8714761180548676
MX_Michoacán,1.0,1.0,0.0
TW_Taoyuan City,1.0,1.0,0.0
SA_Al-Qassim Region,,,
JP_Gifu Prefecture,2.0,3.0,1.0986122886681096
IT_Pesaro and Urbino Province,4.0,2.0,0.6365141682948128
ES_Almería Province,9.0,15.0,2.6859453246697877
NL_North Brabant,273.0,183.0,4.746186910135085
DE_Bavaria,1041.0,357.0,5.038186250295314
IT_Trentino,19.0,37.0,3.534659971758484
IE_County Waterford,1.0,4.0,1.3862943611198906
KR_Incheon,12.0,18.0,2.8714761180548676
IR_Chaharmahal and Bakhtiari Province,,,
US_Iowa,409.0,207.0,4.79127376186579
IT_Province of Parma,17.0,26.0,3.205805710089747
HU_Debrecen,2.0,4.0,1.3862943611198906
RU_Leningrad Oblast,,,
QA_Al Rayyan Municipality,,,
GB_Dundee,21.0,36.0,3.4453387271289886
FR_Landes,10.0,11.0,2.3693821196946763
CN_Inner Mongolia,,,
IN_West Bengal,265.0,168.0,4.486202066068463
HU_Sopron,,,
CO_Cundinamarca Department,3.0,5.0,1.6094379124341005
IT_Province of Ferrara,3.0,6.0,1.791759469228055
TN_Tunis Governorate,27.0,55.0,3.886542888001018
IT_Province of Salerno,6.0,4.0,1.3321790402101223
ES_Santa Cruz de Tenerife Province,28.0,26.0,3.142208978931333
IN_Karnataka,1214.0,378.0,4.986614201759075
IE_County Sligo,12.0,29.0,3.3071040555172204
HU_Győr,,,
GB_Stoke-on-Trent,24.0,32.0,3.375451490821408
CH_Basel-Stadt,111.0,97.0,4.06834257490295
IT_Province of Pisa,16.0,40.0,3.636445433217706
TW_Chiayi County,,,
JP_Tochigi Prefecture,4.0,5.0,1.6094379124341005
FR_Réunion,2.0,7.0,1.9459101490553132
US_Maine,129.0,121.0,4.494303136941729
BE_Flemish Brabant,107.0,93.0,4.15550541174491
MD_Chișinău,14.0,23.0,3.03514143279237
US_Alaska,63.0,51.0,3.7470946956012816
CH_Canton of Valais,65.0,74.0,3.987970195641382
JP_Hyōgo Prefecture,14.0,24.0,3.163424050423405
CL_Santiago Metropolitan Region,167.0,162.0,4.724442980105364
EG_Minya Governorate,,,
PK_Punjab,125.0,114.0,4.304721103001267
GB_Aberdeen,98.0,76.0,3.71777009160822
PL_Opole Voivodeship,11.0,14.0,2.6390573296152584
EG_Cairo Governorate,99.0,130.0,4.586016254328246
JP_Yamanashi Prefecture,1.0,2.0,0.6931471805599453
AU_South Australia,129.0,122.0,4.550444878908253
CU_Havana,3.0,5.0,1.6094379124341005
RU_Sverdlovsk Oblast,13.0,25.0,3.1836729714837864
TR_Hatay Province,2.0,3.0,1.0397207708399179
IT_Province of Ancona,11.0,21.0,3.0047670352079594
IS_Northeastern Region,5.0,10.0,2.2538575896013517
RO_Arad County,,,
RO_Cluj County,36.0,57.0,3.7133028558465186
RU_Chelyabinsk Oblast,4.0,9.0,2.1972245773362196
IL_Central District,633.0,280.0,4.808336033136463
MY_Malacca,1.0,3.0,1.0986122886681096
MX_Morelos,,,
JP_Mie Prefecture,2.0,2.0,0.6931471805599453
GH_Greater Accra Region,54.0,68.0,4.024186029231878
RO_Iași County,12.0,30.0,3.3111785913210046
US_Kentucky,1162.0,363.0,5.0152215238298385
SE_Västerbotten County,28.0,34.0,3.351713647682372
NZ_Waikato Region,17.0,26.0,3.1656721668490384
PL_Podlaskie Voivodeship,8.0,15.0,2.70805020110221
US_South Dakota,110.0,102.0,4.347681611946523
BW_Gaborone,9.0,10.0,2.2718685126965625
IT_Province of Lucca,12.0,17.0,2.8133554045006153
CN_Yunnan,4.0,5.0,1.6094379124341005
IQ_Sulaymaniyah Governorate,2.0,1.0,0.0
TN_Sousse Governorate,1.0,3.0,1.0986122886681096
US_Colorado,2787.0,472.0,5.177414529074749
GB_Brighton and Hove,101.0,115.0,4.446662492258216
BR_Amazonas,4.0,4.0,1.3862943611198906
FI_Central Finland,35.0,49.0,3.6281414599192505
BR_Bahia,9.0,19.0,2.9124944033310527
GR_Attica Region,156.0,145.0,4.552411528669585
JO_Amman Governorate,56.0,89.0,4.302820922866669
JP_Hiroshima Prefecture,1.0,2.0,0.6931471805599453
KR_South Gyeongsang Province,1.0,2.0,0.6931471805599453
PK_Islamabad Capital Territory,44.0,55.0,3.782561527072829
GB_Lincolnshire,27.0,32.0,3.4147395813132553
US_Georgia,2630.0,465.0,5.106553522476897
RO_Bucharest,192.0,171.0,4.565215665290443
GB_Hampshire,289.0,206.0,4.787842669881789
SG_South West Community Development Council,983.0,370.0,5.163494159627439
TR_Sakarya Province,4.0,4.0,1.3862943611198906
JP_Shizuoka Prefecture,8.0,13.0,2.488327743368588
CA_Prince Edward Island,1.0,2.0,0.6931471805599453
ES_Castellón Province,12.0,25.0,3.2188758248682
FR_Côte-d'Or,41.0,41.0,3.5042407408900256
CN_Hebei,15.0,22.0,2.9856309198952307
GB_Milton Keynes,89.0,100.0,4.359421135138905
SE_Västmanland County,27.0,32.0,3.4049278883978618
US_North Carolina,2111.0,447.0,5.076134733655009
IR_Kermanshah Province,,,
RO_Constanța County,1.0,1.0,0.0
CN_Heilongjiang,7.0,8.0,1.9701814400260844
GR_West Greece Region,3.0,6.0,1.7478680974667575
US_Pennsylvania,3216.0,482.0,5.093923937914717
ES_Burgos Province,5.0,6.0,1.6674619334292946
RU_Irkutsk Oblast,1.0,2.0,0.6931471805599453
IR_Semnan Province,,,
BE_Walloon Brabant,56.0,67.0,3.9202497752456136
CY_Limassol District,44.0,54.0,3.823171898923894
HU_Miskolc,1.0,2.0,0.6931471805599453
IL_Tel Aviv District,856.0,368.0,5.094771595391142
AR_Córdoba Province,22.0,40.0,3.6158377361186242
JP_Tokyo,863.0,330.0,5.033367383477907
IE_County Westmeath,11.0,12.0,2.4410152780267027
CA_Ontario,3835.0,517.0,5.201334804626667
ES_Cantabria,3.0,7.0,1.9459101490553132
GB_Southampton,66.0,86.0,4.237740348955773
IL_Jerusalem District,13.0,25.0,3.1445801968384903
BH_Northern Governorate,1.0,2.0,0.6931471805599453
CN_Hunan,8.0,11.0,2.351673301904631
CA_Newfoundland and Labrador,37.0,50.0,3.8010166331937083
BG_Ruse Province,,,
BR_Amapá,,,
TW_Taipei,246.0,142.0,4.2658586968404295
SA_Al Madinah Region,,,
FR_Puy-de-Dôme,20.0,24.0,3.1040740215301854
BG_Blagoevgrad Province,,,
IN_Madhya Pradesh,130.0,112.0,4.154494201617214
FR_Guadeloupe,1.0,3.0,1.0986122886681096
CH_Canton of Fribourg,46.0,72.0,4.058272275615358
TW_Hsinchu,58.0,35.0,2.8910214708566024
AM_Yerevan,15.0,18.0,2.8184119474979377
SA_Al Jawf Region,,,
SN_Dakar,9.0,16.0,2.6980110198441136
PH_Cebu,7.0,25.0,3.204777524132256
FI_Northern Savonia,20.0,31.0,3.2976799017530274
US_Wyoming,95.0,91.0,4.254881097305904
CA_Saskatchewan,65.0,64.0,3.9951401928385106
NZ_Manawatu-Wanganui Region,6.0,18.0,2.8903717578961645
MX_Baja California,6.0,15.0,2.6859453246697877
US_Tennessee,1339.0,358.0,4.982431080039015
SE_Halland County,24.0,31.0,3.325653024798286
RU_Saint Petersburg,60.0,74.0,4.124786325794506
IN_Jammu and Kashmir,6.0,19.0,2.9444389791664407
DK_Capital Region of Denmark,238.0,177.0,4.580551552020141
GB_Leicestershire,80.0,88.0,4.284409815367034
PT_Braga District,10.0,14.0,2.557793860107733
FR_Isère,93.0,96.0,4.116399579466579
PL_Lower Silesian Voivodeship,69.0,84.0,4.053581556287713
MO_Macau,4.0,5.0,1.5607104090414063
GB_Cheshire West and Chester,63.0,84.0,4.260601170378509
FR_Paris,1822.0,453.0,5.152792788166544
ZA_KwaZulu-Natal,44.0,57.0,3.8443302645604835
PT_Castelo Branco District,,,
JP_Saitama Prefecture,6.0,7.0,1.945910149055313
MA_Tangier-Tetouan,,,
RU_Kaliningrad Oblast,4.0,9.0,2.197224577336219
ZA_North West,6.0,9.0,2.1458417525947544
AT_Upper Austria,74.0,85.0,4.197051903143097
BR_Minas Gerais,75.0,100.0,4.307970721829983
LV_Riga,94.0,119.0,4.477087228903988
MA_Rabat-Salé-Zemmour-Zaer,3.0,8.0,2.0794415416798357
ID_North Sumatra Province,2.0,3.0,1.0986122886681096
GR_Thessaly,1.0,3.0,1.0986122886681096
JP_Chiba Prefecture,13.0,26.0,3.2444926304072963
GB_Coventry,73.0,87.0,4.196573623958871
EG_Alexandria Governorate,14.0,23.0,2.969013744827687
LT_Vilnius County,94.0,113.0,4.381856363223568
IN_Kerala,205.0,136.0,4.1611169750153465
MY_Terengganu,,,
US_Washington,4342.0,557.0,5.217348017833231
NG_Akwa Ibom State,,,
FI_Pirkanmaa,69.0,82.0,4.111423429013119
VE_Capital District,,,
DZ_Béjaïa Province,1.0,2.0,0.6931471805599453
AU_Queensland,515.0,286.0,5.118497736689498
IT_Province of Rome,180.0,195.0,4.876680519853707
IN_Uttarakhand,28.0,40.0,3.5917818965012476
CH_Canton of St. Gallen,68.0,88.0,4.297433745771535
PL_Masovian Voivodeship,298.0,202.0,4.841039186397403
IT_Province of Vercelli,2.0,1.0,0.0
TW_New Taipei City,13.0,19.0,2.9124944033310527
NO_Rogaland,32.0,28.0,2.953284159818289
HU_Budapest,134.0,160.0,4.732132923078187
EG_Beni Suef Governorate,,,
PL_Podkarpackie Voivodeship,16.0,35.0,3.521377609091709
IT_Province of Catanzaro,1.0,2.0,0.6931471805599453
JP_Kanagawa Prefecture,25.0,29.0,3.1748272578517396
PL_Greater Poland Voivodeship,83.0,110.0,4.417771382890909
ES_Seville Province,51.0,70.0,4.010471851956824
CY_Nicosia District,3.0,5.0,1.6094379124341005
CZ_Prague,231.0,186.0,4.628043452566811
IT_Province of Frosinone,6.0,9.0,2.197224577336219
LY_Benghazi,,,
GR_East Macedonia and Thrace,,,
US_Illinois,4955.0,550.0,5.203244445995894
CN_Chongqing,16.0,26.0,3.2163581335128364
GH_Ashanti Region,2.0,3.0,1.0986122886681096
SI_Nova Gorica,2.0,3.0,1.0986122886681096
PL_Kuyavian-Pomeranian Voivodeship,10.0,20.0,2.9319232930107058
TR_Istanbul Province,668.0,280.0,4.728074639568689
JP_Toyama Prefecture,3.0,4.0,1.242453324894
GB_Lancashire,135.0,122.0,4.48474933040666
HU_Pest County,10.0,24.0,3.115475024880771
CN_Guangdong,468.0,210.0,4.5636390871029295
DE_Berlin,726.0,334.0,5.015235295101425
IT_Province of Sassari,4.0,5.0,1.5607104090414063
US_Oklahoma,679.0,269.0,4.8437566590218175
DK_Region of Southern Denmark,136.0,113.0,4.432172999142004
ES_Girona Province,40.0,43.0,3.479065706319675
AZ_Baku,18.0,24.0,3.087195049150684
CA_Quebec,1256.0,395.0,5.1302167750540315
KR_Jeju,4.0,12.0,2.4583113296830836
GB_Wolverhampton,40.0,53.0,3.855247675387992
TN_Sfax Governorate,,,
GR_Crete,10.0,18.0,2.8903717578961645
GB_Royal Borough of Kensington and Chelsea,5.0,5.0,1.5607104090414063
TN_Monastir Governorate,,,
IN_Chandigarh,85.0,87.0,4.145563754636457
CH_Graubünden,14.0,22.0,3.0625293002546217
RU_Moscow Oblast,8.0,13.0,2.5400363038209806
TW_Chiayi City,,,
BD_Rajshahi District,,,
GH_Central Region,,,
GB_London Borough of Wandsworth,3.0,3.0,1.0986122886681096
KR_Daejeon,19.0,26.0,3.0511148137931445
PT_Azores,1.0,2.0,0.6931471805599453
ZA_Western Cape,363.0,250.0,4.946290517334327
SE_Stockholm County,909.0,369.0,5.1357328044517185
RU_Penza Oblast,2.0,4.0,1.3862943611198906
BR_Sergipe,2.0,5.0,1.6094379124341005
AR_San Luis Province,,,
